busname,bustype,Departing_time,Reaching_time,Duration,Price,rating,seats_available
Sri Krishna Travels,A/C Sleeper (2+1),17:30,22:45,05h 15m,1100,3.0,30 Seats available
Sea Bird Tourist,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),20:15,23:45,27h 30m,1800,3.0,27 Seats available
Sri Krishna Travels,A/C Sleeper (2+1),19:00,23:30,04h 30m,1100,3.0,23 Seats available
Vibhav Holidays,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),20:00,23:00,27h 00m,1714,3.8,29 Seats available
BSR Tours And Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),23:00,03:00,04h 00m,1000,4.4,24 Seats available
Rajesh Transports,A/C Volvo B11R Multi-Axle Sleeper (2+1),22:30,02:30,04h 00m,1525,4.4,25 Seats available
Yaswanth Travels,A/C Sleeper (2+1),18:00,23:30,05h 30m,2850,4.3,31 Seats available
Sri Tulasi Tours and Travels,A/C Sleeper (2+1),17:00,22:00,05h 00m,900,4.2,25 Seats available
Mayura Bus,A/C Sleeper (2+1),20:00,23:00,27h 00m,1999,3.9,14 Seats available
Sri Vengamamba Bus Transport (SVBT),Non A/C Seater / Sleeper (2+1),20:15,01:15,05h 00m,2300,3.7,32 Seats available
Sai RK Travels,A/C Sleeper (2+1),19:00,23:00,04h 00m,3499,3.6,24 Seats available
GreenLine Travels And Holidays,A/C Sleeper (2+1),20:30,21:15,24h 45m,1999,3.5,23 Seats available
VRL Travels,A/C Sleeper (2+1),21:30,01:00,03h 30m,1000,3.5,18 Seats available
VRL Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),18:15,22:15,04h 00m,1100,3.5,47 Seats available
Ramu Tours & Travels,A/C Seater / Sleeper (2+1),22:30,03:30,05h 00m,2000,3.4,30 Seats available
GreenLine Travels And Holidays,A/C Sleeper (2+1),20:30,03:00,06h 30m,4999,3.4,30 Seats available
V Kaveri Travels,VE A/C Sleeper (2+1),22:00,03:15,05h 15m,900,3.3,26 Seats available
Prasanna Travels,A/C Sleeper (2+1),19:00,23:30,04h 30m,900,3.3,30 Seats available
MRM Travels,A/C Seater / Sleeper (2+1),16:30,22:00,05h 30m,2841,3.3,48 Seats available
GreenLine Travels And Holidays,A/C Sleeper (2+1),22:45,04:45,06h 00m,4775,3.4,36 Seats available
